LRat1,LRat2,LVar1,LVar2,Part,RRat1,RRat2,RVar1,RVar2,choice,choiceTime,endTime,frame,leftId,primerSound,rightId,trial,trialEnd,trialOnset,trialOnsetTim,trialRespTime,trialSnd1Tim,trialSnd2Tim,trialThinkTime
1.0,4.0,,,0,3.0,2.0,,,1.0,7.478964911000048,,1.0,5.0,1.0,2.0,0.0,14.011541105999868,29.976977749000074,0.016905896000025674,6.5110242119999375,1.0657942880000064,1.5663126259998992,3.510177017999922
3.0,2.0,,,0,2.0,3.0,,,-1.0,8.351097737000146,,1.0,2.0,1.0,6.0,1.0,16.016302494,43.990963669999935,0.014469522000126744,7.515056615000049,1.0536641090000105,1.5539022590000968,3.5148762020000963
1.0,4.0,,,0,3.0,2.0,,,-1.0,9.16697539699999,,2.0,5.0,1.0,2.0,2.0,18.015984438000032,60.010107405000106,0.05748049899989384,8.514906973000054,1.1025381709998785,1.6037000750000059,3.5140810630000487
2.0,3.0,,,0,3.0,2.0,,,-1.0,7.851127485000006,,1.0,6.0,2.0,2.0,3.0,16.00010327300015,78.02821542300012,0.014217691000112609,7.515609441000151,1.0532748620000802,1.5544101630000569,3.51456829100016
1.0,4.0,,,0,4.0,1.0,,,1.0,7.151506020999932,,1.0,5.0,2.0,1.0,4.0,14.016119829999981,94.030169031,0.013254488000029596,6.515891429000021,1.0533751609998492,1.5542910259998737,3.5146652539999645
1.0,4.0,,,0,2.0,3.0,,,-1.0,8.839592390000009,,2.0,5.0,2.0,6.0,5.0,18.005992074,108.07559381200008,0.01599469699999645,8.50480283800016,1.0598952380000808,1.5599932100001297,3.50352094699997
4.0,1.0,,,0,2.0,3.0,,,1.0,6.950975362000007,,2.0,1.0,2.0,6.0,6.0,14.000476791999972,126.08321022199993,0.013753732999930436,6.51565619200005,1.0548652309998945,1.5550440869999418,3.515785766999897
2.0,3.0,,,0,4.0,1.0,,,1.0,8.934152227999903,,1.0,6.0,1.0,1.0,7.0,18.017105507,140.0853675190001,0.014194796999845494,8.515327055999933,1.0543902590000016,1.5544849689999864,3.5151096609999968
3.0,2.0,,,0,2.0,3.0,,,1.0,7.068511962999993,,2.0,2.0,1.0,6.0,8.0,14.015799474000005,158.1043462939999,0.014204349000010554,6.515507613999944,1.054082247999986,1.5543419559999163,3.514845647000129
2.0,3.0,,,0,1.0,4.0,,,1.0,8.869291514999986,,2.0,6.0,1.0,5.0,9.0,18.00086506100001,172.1217443119999,0.013727158000165218,8.500683970000182,1.0554170190000605,1.5555604370001674,3.5153365200001185
3.0,2.0,,,0,1.0,4.0,,,-1.0,8.933366853000052,,1.0,2.0,2.0,5.0,10.0,18.000973386999927,190.12449429000003,0.013297462999844356,8.516563123999957,1.0547980249998543,1.554971610999928,3.5212643029999526
2.0,3.0,,,0,3.0,2.0,,,1.0,8.850082967000162,,1.0,6.0,1.0,2.0,11.0,18.000908848999874,208.127237727,0.013579133999883196,8.515679985999897,1.053885014999878,1.5540235839998786,3.5148756969999795
