trial,leftId,rightId,Frame,endTime,choice,choiceTime,LRat1,RRat1,LRat2,RRat2,LVar1,RVar1,LVar2,RVar2,Part
0.0,21.0,4.0,2.0,7.50840901400079,1.0,1.1748382219993798,50.0,28.5,1.5,20.5,0.0,3.5355339059327378,0.7071067811865476,6.363961030678928,0
1.0,12.0,14.0,2.0,7.5139299420006855,1.0,0.7802685759997985,40.5,27.5,10.0,23.0,0.7071067811865476,2.1213203435596424,5.656854249492381,4.242640687119285,0
2.0,20.0,19.0,2.0,7.515296094001314,1.0,1.195317341998816,50.0,8.0,1.0,41.0,0.0,0.0,0.0,12.727922061357855,0
3.0,2.0,8.0,2.0,7.514498485999867,1.0,0.24773633800032255,44.5,10.5,1.0,50.0,3.5355339059327378,3.5355339059327378,0.0,0.0,0
4.0,4.0,21.0,1.0,7.51431123600014,1.0,0.17848242100080824,28.5,50.0,20.5,1.5,3.5355339059327378,0.0,6.363961030678928,0.7071067811865476,0
5.0,12.0,20.0,1.0,7.5136062929996115,-1.0,2.181133324000257,40.5,50.0,10.0,1.0,0.7071067811865476,0.0,5.656854249492381,0.0,0
6.0,24.0,21.0,2.0,7.514916423000614,1.0,3.3618224760011803,50.0,50.0,25.5,1.5,0.0,0.0,34.64823227814083,0.7071067811865476,0
7.0,2.0,32.0,2.0,7.5138947400009775,1.0,2.0004126309995627,44.5,31.0,1.0,20.0,3.5355339059327378,1.4142135623730951,0.0,0.0,0
8.0,19.0,8.0,1.0,7.514562644999387,1.0,3.2984724480011214,8.0,10.5,41.0,50.0,0.0,3.5355339059327378,12.727922061357855,0.0,0
9.0,24.0,21.0,1.0,7.514475295000012,1.0,1.4821912620009243,50.0,50.0,25.5,1.5,0.0,0.0,34.64823227814083,0.7071067811865476,0
10.0,7.0,24.0,2.0,7.53337117800038,-1.0,3.4728938860007474,24.5,50.0,22.0,25.5,0.7071067811865476,0.0,4.242640687119285,34.64823227814083,0
11.0,19.0,20.0,2.0,7.513675746000445,-1.0,2.6804983090005408,8.0,50.0,41.0,1.0,0.0,0.0,12.727922061357855,0.0,0
12.0,10.0,6.0,2.0,7.512975446999918,,,29.5,25.5,27.0,3.0,6.363961030678928,34.64823227814083,12.727922061357855,2.8284271247461903,0
13.0,11.0,13.0,1.0,7.514578055999664,-1.0,1.2463652200003708,21.5,38.5,26.0,14.0,12.020815280171307,0.7071067811865476,15.556349186104045,2.8284271247461903,0
14.0,2.0,8.0,1.0,7.515374289001556,-1.0,0.6983162570013519,44.5,10.5,1.0,50.0,3.5355339059327378,3.5355339059327378,0.0,0.0,0
15.0,25.0,14.0,1.0,7.513834373999997,1.0,1.0798847000005478,18.0,27.5,26.0,23.0,0.0,2.1213203435596424,8.48528137423857,4.242640687119285,0
16.0,32.0,2.0,1.0,7.515024886000901,1.0,0.7491022089998296,31.0,44.5,20.0,1.0,1.4142135623730951,3.5355339059327378,0.0,0.0,0
17.0,21.0,4.0,1.0,7.514161448001688,-1.0,0.3989656049998303,50.0,28.5,1.5,20.5,0.0,3.5355339059327378,0.7071067811865476,6.363961030678928,0
18.0,14.0,12.0,2.0,7.514242104000004,-1.0,2.0786672809990705,27.5,40.5,23.0,10.0,2.1213203435596424,0.7071067811865476,4.242640687119285,5.656854249492381,0
19.0,18.0,27.0,1.0,7.514449589001742,1.0,1.5472612630001097,50.0,46.0,1.0,11.0,0.0,1.4142135623730951,0.0,9.899494936611665,0
20.0,8.0,19.0,1.0,7.514174719000947,,,10.5,8.0,50.0,41.0,3.5355339059327378,0.0,0.0,12.727922061357855,0
21.0,12.0,20.0,2.0,7.514755101001357,-1.0,1.616938854000182,40.5,50.0,10.0,1.0,0.7071067811865476,0.0,5.656854249492381,0.0,0
22.0,6.0,7.0,1.0,7.514261793998231,-1.0,2.1466012860000774,25.5,24.5,3.0,22.0,34.64823227814083,0.7071067811865476,2.8284271247461903,4.242640687119285,0
23.0,32.0,5.0,1.0,7.5144050429989875,-1.0,0.9134814190001634,31.0,1.0,20.0,50.0,1.4142135623730951,0.0,0.0,0.0,0
24.0,24.0,7.0,1.0,7.513695911000467,-1.0,1.2659613450014149,50.0,24.5,25.5,22.0,0.0,0.7071067811865476,34.64823227814083,4.242640687119285,0
25.0,8.0,2.0,2.0,7.514479489998847,-1.0,0.9809724379992986,10.5,44.5,50.0,1.0,3.5355339059327378,3.5355339059327378,0.0,0.0,0
26.0,27.0,18.0,1.0,7.514286487999924,1.0,1.5954219169998396,46.0,50.0,11.0,1.0,1.4142135623730951,0.0,9.899494936611665,0.0,0
27.0,20.0,12.0,2.0,7.51403909199871,-1.0,1.4145239849985956,50.0,40.5,1.0,10.0,0.0,0.7071067811865476,0.0,5.656854249492381,0
28.0,4.0,21.0,2.0,7.513827415001288,-1.0,0.5327352069998597,28.5,50.0,20.5,1.5,3.5355339059327378,0.0,6.363961030678928,0.7071067811865476,0
29.0,18.0,25.0,1.0,7.514261063999584,-1.0,1.4143277409984876,50.0,18.0,1.0,26.0,0.0,0.0,0.0,8.48528137423857,0
30.0,7.0,6.0,1.0,7.51432839500012,-1.0,0.7489716219988622,24.5,25.5,22.0,3.0,0.7071067811865476,34.64823227814083,4.242640687119285,2.8284271247461903,0
31.0,32.0,2.0,2.0,7.5143880150008036,1.0,0.5479243810004846,31.0,44.5,20.0,1.0,1.4142135623730951,3.5355339059327378,0.0,0.0,0
32.0,19.0,8.0,2.0,7.514679919000628,1.0,1.1652450880010292,8.0,10.5,41.0,50.0,0.0,3.5355339059327378,12.727922061357855,0.0,0
33.0,7.0,6.0,2.0,7.514001609000842,-1.0,0.7143503030001739,24.5,25.5,22.0,3.0,0.7071067811865476,34.64823227814083,4.242640687119285,2.8284271247461903,0
34.0,12.0,14.0,1.0,7.514653931000794,-1.0,1.6813287630011473,40.5,27.5,10.0,23.0,0.7071067811865476,2.1213203435596424,5.656854249492381,4.242640687119285,0
35.0,24.0,7.0,2.0,7.513926286999776,-1.0,0.4648760149993905,50.0,24.5,25.5,22.0,0.0,0.7071067811865476,34.64823227814083,4.242640687119285,0
36.0,27.0,16.0,1.0,7.5149337139991985,-1.0,1.296049783999479,46.0,20.0,11.0,35.5,1.4142135623730951,11.313708498984761,9.899494936611665,0.7071067811865476,0
37.0,20.0,12.0,1.0,7.514141441999527,1.0,1.617043816999285,50.0,40.5,1.0,10.0,0.0,0.7071067811865476,0.0,5.656854249492381,0
38.0,21.0,24.0,2.0,7.514466687000095,1.0,2.2984417979987484,50.0,50.0,1.5,25.5,0.0,0.0,0.7071067811865476,34.64823227814083,0
39.0,27.0,16.0,2.0,7.514048630000616,1.0,1.1153754699989804,46.0,20.0,11.0,35.5,1.4142135623730951,11.313708498984761,9.899494936611665,0.7071067811865476,0
40.0,2.0,32.0,1.0,7.514215717999831,-1.0,1.6154191129990068,44.5,31.0,1.0,20.0,3.5355339059327378,1.4142135623730951,0.0,0.0,0
41.0,27.0,18.0,2.0,7.5141349360001195,-1.0,1.7972344770005293,46.0,50.0,11.0,1.0,1.4142135623730951,0.0,9.899494936611665,0.0,0
42.0,13.0,11.0,1.0,7.514103274999798,-1.0,0.5303856560003624,38.5,21.5,14.0,26.0,0.7071067811865476,12.020815280171307,2.8284271247461903,15.556349186104045,0
43.0,18.0,27.0,2.0,7.513321889000507,-1.0,2.0317311029994016,50.0,46.0,1.0,11.0,0.0,1.4142135623730951,0.0,9.899494936611665,0
44.0,16.0,11.0,1.0,7.515178809000645,1.0,1.8635558859987211,20.0,21.5,35.5,26.0,11.313708498984761,12.020815280171307,0.7071067811865476,15.556349186104045,0
45.0,6.0,10.0,2.0,7.514286262001406,1.0,1.7454883969985533,25.5,29.5,3.0,27.0,34.64823227814083,6.363961030678928,2.8284271247461903,12.727922061357855,0
46.0,21.0,24.0,1.0,7.514250739999625,-1.0,1.3824093579987675,50.0,50.0,1.5,25.5,0.0,0.0,0.7071067811865476,34.64823227814083,0
47.0,6.0,7.0,2.0,7.514658167001471,1.0,0.28228731300077925,25.5,24.5,3.0,22.0,34.64823227814083,0.7071067811865476,2.8284271247461903,4.242640687119285,0
48.0,5.0,4.0,2.0,7.513776658999633,-1.0,0.6298376640006609,1.0,28.5,50.0,20.5,0.0,3.5355339059327378,0.0,6.363961030678928,0
49.0,20.0,19.0,1.0,7.5144816799984255,-1.0,1.0812479249998432,50.0,8.0,1.0,41.0,0.0,0.0,0.0,12.727922061357855,0
50.0,25.0,14.0,2.0,7.5135159000001295,-1.0,1.231853248998959,18.0,27.5,26.0,23.0,0.0,2.1213203435596424,8.48528137423857,4.242640687119285,0
51.0,5.0,4.0,1.0,7.51541080899915,1.0,1.1139790259985602,1.0,28.5,50.0,20.5,0.0,3.5355339059327378,0.0,6.363961030678928,0
52.0,13.0,11.0,2.0,7.5129836720007015,1.0,1.0645686249990831,38.5,21.5,14.0,26.0,0.7071067811865476,12.020815280171307,2.8284271247461903,15.556349186104045,0
53.0,11.0,16.0,2.0,7.513900826999817,1.0,1.7321947050004385,21.5,20.0,26.0,35.5,12.020815280171307,11.313708498984761,15.556349186104045,0.7071067811865476,0
54.0,32.0,5.0,2.0,7.514531537000948,1.0,1.1151987510002073,31.0,1.0,20.0,50.0,1.4142135623730951,0.0,0.0,0.0,0
55.0,10.0,6.0,1.0,7.51389625199954,1.0,0.6980618779998622,29.5,25.5,27.0,3.0,6.363961030678928,34.64823227814083,12.727922061357855,2.8284271247461903,0
56.0,4.0,5.0,1.0,7.51395084700016,-1.0,0.6983128880001459,28.5,1.0,20.5,50.0,3.5355339059327378,0.0,6.363961030678928,0.0,0
57.0,6.0,10.0,1.0,7.5147992099991825,-1.0,0.7659892760002549,25.5,29.5,3.0,27.0,34.64823227814083,6.363961030678928,2.8284271247461903,12.727922061357855,0
58.0,4.0,5.0,2.0,7.513709356000618,1.0,0.5979135380002845,28.5,1.0,20.5,50.0,3.5355339059327378,0.0,6.363961030678928,0.0,0
59.0,19.0,20.0,1.0,7.514821814998868,1.0,1.115193347000968,8.0,50.0,41.0,1.0,0.0,0.0,12.727922061357855,0.0,0
